Make,Model,GC Number,kW Gross,kW Net,Net kW (+5%/-10%),Max CO2%,Min CO2%,Max Ratio,Max Co (PPM),Max (Burner Pressure Mb),Min (Burner Pressure Mb),Strip Service Required
Glow-worm,Ultracom 12hxi,41-019-01,13.54,12.2,11.0 - 12.8,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 15hxi,41-019-02,16.94,15.26,13.7 - 16.0,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 18hxi,41-019-03,20.98,18.9,17.0 - 19.8,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 18sxi,41-019-07,20.98,18.9,17.0 - 19.8,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 24cx,47-019-06,26.77,24.12,21.7 - 25.3,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 24cxi,47-019-01,26.77,24.12,21.7 - 25.3,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 24hxi,41-019-04,27.08,24.4,22.0 - 25.6,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 30cx,47-019-07,33.47,30.15,27.1 - 31.7,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 30cxi,47-019-11,33.47,30.15,27.1 - 31.7,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom2 18sxi,41-019-13,20.54,18.5,16.7 - 19.4,9.2(+0.3/-0.3),9.2(+0.3/-0.3),0.004,N/A,N/A,N/A,Yes
Glow-worm,Ultracom2 30cxi,47-019-11,33.97,30.6,27.5 - 32.1,9.2(+0.3/-0.3),9.2(+0.3/-0.3),0.004,N/A,N/A,N/A,Yes
Glow-worm,Ultracom2 24cxi,47-019-10,28.31,25.5,23.0 - 26.8,9.2(+0.3/-0.3),9.2(+0.3/-0.3),0.004,N/A,N/A,N/A,Yes
Ideal,Classic FF 230,41-387-01,11,9.9,8.9 - 10.4,N/A,N/A,N/A,N/A,13.2,3.5,Yes
Ideal,CLASSIC FF 240,41-387-02,14.7,13.2,11.9 - 13.9,N/A,N/A,N/A,N/A,14.5,8.5,Yes
Ideal,Classic NF 30,41-429-30,11,9.9,8.9 - 10.4,N/A,N/A,N/A,N/A,13.9,4,Yes
Ideal,Classic NF 40,41-429-31,14.7,13.2,11.9 - 13.9,N/A,N/A,N/A,N/A,12.7,7.5,Yes
Ideal,Classic FF 330,41-391-54,10.8,9.7,8.8 - 10.2,N/A,N/A,N/A,N/A,12.4,N/A,Yes
Ideal,Logic Code Combi ESP1 26,47-349-04,26.97,24.3,21.9 - 25.5,N/A,N/A,0.004,350,N/A,N/A,Yes
Ideal,Exclusive 24,47-349-41,26.97,24.3,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Icos HE 12,41-397-95,13.54,12.2,11.0 - 12.8,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos HE 15,41-397-83,16.76,15.1,13.6 - 15.9,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos HE 24,41-397-85,27.08,24.4,22.0 - 25.6,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos M3080,41-391-49,27.08,24.4,22.0 - 25.6,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 24,47-348-31,26.97,24.3,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 30,47-348-30,33.52,30.2,27.2 - 31.7,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 35,47-348-29,39.96,36,32.4 - 37.8,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Logic Code Combi 26,47-348-74,26.97,24.3,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Code Combi ES26,47-349-04,26.97,24.3,21.9 - 25.5,,N/A,0.004,350,N/A,N/A,Yes
